# TradeHub Core Turkish Translations
# Format: source,translated,context (optional)

# Common Labels
Basic Information,Temel Bilgiler,
Status,Durum,
User,User,
Tenant,Kiralayan,
Organization,Organizasyon,
Description,Aciklama,
Image,Resim,
Details,Detaylar,
Settings,Ayarlar,
Notes,Notlar,
System,Sistem,
System Information,Sistem Bilgileri,
Created By,Olusturan,
Modified By,Duzenleyen,
Save,Kaydet,
Cancel,Iptal,
Submit,Gonder,
Delete,Sil,
Edit,Duzenle,
Print,Yazdir,
Email,E-posta,

# Actions
Add,Ekle,
Remove,Kaldir,
Update,Guncelle,
Search,Ara,
Filter,Filtrele,
Refresh,Yenile,
Export,Disa Aktar,
Import,Ice Aktar,
Actions,Islemler,
Activate,Etkinlestir,
Approve,Onayla,
Reject,Reddet,
Suspend,Askiya Al,
Block,Engelle,
Reactivate,Yeniden Etkinlestir,
Verify,Dogrula,
Request,Istek,
Confirm Mapping,Eslesmeyi Onayla,
Start Review,Incelemeyi Baslat,
Request Documents,Belge Iste,
Verify All Documents,Tum Belgeleri Dogrula,
Submit for Verification,Dogrulama Icin Gonder,
Check Segment Eligibility,Segment Uygunlugunu Kontrol Et,
Change Segment,Segmenti Degistir,
Refresh Counts,Sayilari Yenile,
Refresh Metrics,Metrikleri Yenile,
Auto-Match Columns,Otomatik Sutun Eslestirme,
Add Child Category,Alt Kategori Ekle,
View Buyers,Alicilari Goruntule,
View Sellers,Saticilari Goruntule,
View Orders,Siparisleri Goruntule,
View Listings,Ilanlari Goruntule,
View Organizations,Organizasyonlari Goruntule,
View Neighborhoods,Mahalleleri Goruntule,
View Category Path,Kategori Yolunu Goruntule,

# Platform Core
Platform,Platform,
Marketplace,Pazaryeri,
Dashboard,Kontrol Paneli,
Configuration,Yapilandirma,
Module,Modul,
Application,Uygulama,
Service,Servis,
Integration,Entegrasyon,
TradeHub Core,TradeHub Cekirdek,

# User Management
User Management,Kullanici Yonetimi,
Role,Rol,
Permission,Yetki,
Access Level,Erisim Seviyesi,
User Role,Kullanici Rolu,
Role Profile,Rol Profili,
User Permission,Kullanici Yetkisi,
Has Role,Rolu Var,
Administrator,Yonetici,
System Manager,Sistem Yoneticisi,

# Roles (Task 6 - RBAC New Role Names)
Platform Admin,Platform Yoneticisi,
Platform Finance,Platform Finans,
Compliance Officer,Uyum Sorumlusu,
Support Agent,Destek Temsilcisi,
Seller Owner,Satici Sahibi,
Seller Admin,Satici Yoneticisi,
Seller Finance,Satici Finans,
Seller Staff,Satici Personeli,
Seller Viewer,Satici Goruntuleyici,
Buyer Admin,Alici Yoneticisi,
Buyer Procurement,Alici Satin Alma,
Buyer Finance,Alici Finans,
Buyer Viewer,Alici Goruntuleyici,

# Tenant Management
Tenant Management,Kiralayan Yonetimi,
Tenant Name,Kiralayan Adi,
Tenant Type,Kiralayan Tipi,
Tenant Status,Kiralayan Durumu,
Tenant Settings,Kiralayan Ayarlari,
Subscription Plan,Abonelik Plani,
Plan Type,Plan Tipi,
Subscription Status,Abonelik Durumu,
Total Sellers,Toplam Saticilar,
Total Listings,Toplam Ilanlar,
Total Orders,Toplam Siparisler,
Commission,Komisyon,

# Organization
Organization Name,Organizasyon Adi,
Organization Type,Organizasyon Tipi,
Parent Organization,Ust Organizasyon,
Legal Name,Tescil Adi,
Tax ID,Vergi Numarasi,
Registration Number,Kayit Numarasi,
Organizations,Organizasyonlar,

# Notifications
Notification,Bildirim,
Notifications,Bildirimler,
Notification Type,Bildirim Tipi,
Notification Channel,Bildirim Kanali,
Email Notification,E-posta Bildirimi,
SMS Notification,SMS Bildirimi,
Push Notification,Anlik Bildirim,
In-App Notification,Uygulama Ici Bildirim,
Read,Okundu,
